Year,Icheamic Heart Disease,Mental and behavioural disorders,Diseases of the nervous system,Malignant neoplasm of breast. female,Diabetes mellitus,Leukaemia,Pneumonia,Total Deaths
2014,283.1,10.3,15.2,12.9,1.4,3.7,4.4,753.5
2013,280.2,9.6,12.7,13.7,1.4,4.1,5.3,786.1
2012,,,,,,,,
2011,300,14,12.2,14.1,2,4.6,7.7,889.1
2010,318.6,9.7,11.3,14.6,2.2,4.3,8.2,911.5
2009,312.8,6.9,9.2,14.4,2.4,4.8,8.6,904.4
2008,302.5,6,8,14.4,2.5,4.8,6.4,909.5
2007,299.1,5.3,8.3,16.4,3,4.9,6.4,919.7
2006,,,,,,,,
2005,,,,,,,,
2004,,,,,,,,
2003,344.7,5.7,7.2,16.2,3.9,4.5,7.4,1040.8
2002,348.4,6.8,9.1,14.8,5,4.8,8.6,1074.2
2001,343.8,5.1,,15.8,4.7,4.4,8.5,1030.8
2000,324.8,4,,16.7,4.9,4.5,9,995.7
1999,342.8,5,,17.4,5.6,4.1,11.4,1061.3
1998,314.6,4.4,,15.8,5.5,4.2,9.5,1015.5
1997,305.5,3.8,,15.1,6,4.1,9.7,1016.2
1996,355.8,3.3,,15.3,5,4.3,8,1055.7
1995,299.2,3.8,,15.2,6.2,4,8.3,1006.4
1994,293.1,3.7,,15.4,5.8,4.1,6.7,982.2
1993,285.6,3.8,,15.4,6.2,4.2,7.2,974.9
1992,245.6,3.1,,15.9,6.3,4.8,5.3,891.1
1991,245.7,2,,14,5.5,4.5,5.3,881.4
1990,252.4,2.1,,14.6,4.9,5.1,5.1,846.6
1989,271.5,2.3,,13.9,4,5.2,5.4,806.2
1988,291.9,1.6,,12.3,3.4,5.2,5.8,805.6
1987,303.9,1.5,,13,2.8,5,5.1,795.1
1986,301.1,1.3,,12.7,2.6,4.8,5.3,785.2
1985,337.9,1.9,,12.4,2.4,5.1,7.1,864.9
1984,,,,,,,,
1983,,,,,,,,
1982,293.9,1.5,,11,2.2,5.7,8.4,808
1981,294.3,1.6,,11.4,1.7,5.5,10.3,813.5
