"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2000","2000",954.9,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2001","2001",930.9,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2002","2002",940.6,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2003","2003",951.8,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2004","2004",898.7,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2005","2005",889.2,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2006","2006",853.8,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2007","2007",836.9,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2008","2008",835,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2009","2009",826.5,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2010","2010",811.1,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2011","2011",786.8,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2012","2012",784.8,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2013","2013",813.9,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2014","2014",773.3,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2015","2015",803.4,,
"CICDALLC","All causes of death","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2016","2016",776.7,,
"CICDINFE","Certain infectious and parasitic diseases","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2000","2000",11.4,,
"CICDINFE","Certain infectious and parasitic diseases","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2001","2001",11.6,,
"CICDINFE","Certain infectious and parasitic diseases","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2002","2002",11.6,,
"CICDINFE","Certain infectious and parasitic diseases","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2003","2003",12,,
"CICDINFE","Certain infectious and parasitic diseases","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2004","2004",12,,
"CICDINFE","Certain infectious and parasitic diseases","TXCMILTX","Deaths per 100 000 population (standardised rates)","DEU","Germany","2005","2005",12.7,,
