"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2005","2005",69.4,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2006","2006",66.4,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2007","2007",67.9,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2008","2008",72.5,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2009","2009",76.7,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2010","2010",74.3,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2011","2011",73.7,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2012","2012",76.2,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2013","2013",74,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2014","2014",75.4,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2015","2015",75.7,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2016","2016",76.3,,
"SRECFE56","Good/very good health, females aged 15+, High education (ISCED 5 to 8)","PERCALEF","% of population (crude rate)","DEU","Germany","2017","2017",75.8,,
"SRECGHQV","Good/very good health, total aged 15+, Income quintile 5 (highest)","PERCALEF","% of population (crude rate)","DEU","Germany","2005","2005",69.6,,
"SRECGHQV","Good/very good health, total aged 15+, Income quintile 5 (highest)","PERCALEF","% of population (crude rate)","DEU","Germany","2006","2006",70.7,,
"SRECGHQV","Good/very good health, total aged 15+, Income quintile 5 (highest)","PERCALEF","% of population (crude rate)","DEU","Germany","2007","2007",72.1,,
"SRECGHQV","Good/very good health, total aged 15+, Income quintile 5 (highest)","PERCALEF","% of population (crude rate)","DEU","Germany","2008","2008",78.2,,
