"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2000","2000",2023,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2001","2001",2074,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2002","2002",2232,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2003","2003",2274,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2004","2004",2369,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2005","2005",2434,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2006","2006",2399,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2007","2007",2446,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2008","2008",2558,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2009","2009",2559,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2010","2010",2643,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2011","2011",2688,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2012","2012",2735,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2013","2013",2719,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2014","2014",2862,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2015","2015",2866,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2016","2016",2896,,
"IPINSCAN","Computed Tomography scanners, total","NOMBRENB","Number","DEU","Germany","2017","2017",2904,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2000","2000",999,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2001","2001",1047,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2002","2002",1122,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2003","2003",1159,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2004","2004",1205,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2005","2005",1271,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2006","2006",1304,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2007","2007",1340,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2008","2008",1374,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2009","2009",1412,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2010","2010",1450,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2011","2011",1489,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2012","2012",1497,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2013","2013",1510,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2014","2014",1521,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2015","2015",1541,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2016","2016",1572,,
"IPINSCAH","Computed Tomography scanners, in hospitals","NOMBRENB","Number","DEU","Germany","2017","2017",1584,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2000","2000",1024,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2001","2001",1027,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2002","2002",1110,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2003","2003",1115,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2004","2004",1164,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2005","2005",1163,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2006","2006",1095,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2007","2007",1106,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2008","2008",1184,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2009","2009",1147,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2010","2010",1193,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2011","2011",1199,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2012","2012",1238,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2013","2013",1209,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2014","2014",1341,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2015","2015",1325,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2016","2016",1324,,
"IPINSCAA","Computed Tomography scanners, in ambulatory sector","NOMBRENB","Number","DEU","Germany","2017","2017",1320,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2000","2000",1177,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2001","2001",1314,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2002","2002",1444,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2003","2003",1525,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2004","2004",1565,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2005","2005",1640,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2006","2006",1762,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2007","2007",1845,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2008","2008",1938,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2009","2009",2060,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2010","2010",2211,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2011","2011",2317,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2012","2012",2305,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2013","2013",2332,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2014","2014",2470,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2015","2015",2747,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2016","2016",2840,,
"IPINMRIM","Magnetic Resonance Imaging units, total","NOMBRENB","Number","DEU","Germany","2017","2017",2869,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2000","2000",405,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2001","2001",451,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2002","2002",493,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2003","2003",514,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2004","2004",545,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2005","2005",585,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2006","2006",635,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2007","2007",673,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2008","2008",716,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2009","2009",776,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2010","2010",842,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2011","2011",876,,
"IPINMRIH","Magnetic Resonance Imaging units, in hospitals","NOMBRENB","Number","DEU","Germany","2012","2012",908,,
