"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2000","2000",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2001","2001",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2002","2002",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2003","2003",99.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2004","2004",99.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2005","2005",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2006","2006",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2007","2007",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2008","2008",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2009","2009",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2012","2012",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2015","2015",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2016","2016",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2017","2017",100,,
