LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,MLN_USD,A,1960,25034.7402,
AUS,GDP,TOT,MLN_USD,A,1961,25326.3822,
AUS,GDP,TOT,MLN_USD,A,1962,27913.2057,
AUS,GDP,TOT,MLN_USD,A,1963,30385.7232,
AUS,GDP,TOT,MLN_USD,A,1964,32694.4666,
AUS,GDP,TOT,MLN_USD,A,1965,34489.925,
AUS,GDP,TOT,MLN_USD,A,1966,38285.3106,
AUS,GDP,TOT,MLN_USD,A,1967,41004.0159,
AUS,GDP,TOT,MLN_USD,A,1968,46488.4352,
AUS,GDP,TOT,MLN_USD,A,1969,52131.9371,
AUS,GDP,TOT,MLN_USD,A,1970,58744.34,
AUS,GDP,TOT,MLN_USD,A,1971,64010.8064,
AUS,GDP,TOT,MLN_USD,A,1972,69668.5941,
AUS,GDP,TOT,MLN_USD,A,1973,78686.0763,
AUS,GDP,TOT,MLN_USD,A,1974,86151.6445,
AUS,GDP,TOT,MLN_USD,A,1975,96661.7044,
AUS,GDP,TOT,MLN_USD,A,1976,104080.3359,
AUS,GDP,TOT,MLN_USD,A,1977,110058.2744,
AUS,GDP,TOT,MLN_USD,A,1978,123095.2918,
AUS,GDP,TOT,MLN_USD,A,1979,137701.3621,
AUS,GDP,TOT,MLN_USD,A,1980,154717.9327,
AUS,GDP,TOT,MLN_USD,A,1981,177931.5468,
AUS,GDP,TOT,MLN_USD,A,1982,181564.8993,
AUS,GDP,TOT,MLN_USD,A,1983,196115.5179,
AUS,GDP,TOT,MLN_USD,A,1984,211311.6208,
AUS,GDP,TOT,MLN_USD,A,1985,228472.1229,
AUS,GDP,TOT,MLN_USD,A,1986,239508.9215,
AUS,GDP,TOT,MLN_USD,A,1987,260412.5065,
AUS,GDP,TOT,MLN_USD,A,1988,282412.3501,
AUS,GDP,TOT,MLN_USD,A,1989,299026.1061,
AUS,GDP,TOT,MLN_USD,A,1990,303558.0769,
AUS,GDP,TOT,MLN_USD,A,1991,313289.6273,
AUS,GDP,TOT,MLN_USD,A,1992,333775.4842,
AUS,GDP,TOT,MLN_USD,A,1993,354812.0702,
