"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","MLN_USD","A","1960",24996.2208,
"AUS","GNI","TOT","MLN_USD","A","1961",25389.1206,
"AUS","GNI","TOT","MLN_USD","A","1962",27820.1811,
"AUS","GNI","TOT","MLN_USD","A","1963",30367.1072,
"AUS","GNI","TOT","MLN_USD","A","1964",32776.3475,
"AUS","GNI","TOT","MLN_USD","A","1965",34402.0995,
"AUS","GNI","TOT","MLN_USD","A","1966",37998.9678,
"AUS","GNI","TOT","MLN_USD","A","1967",40607.5702,
"AUS","GNI","TOT","MLN_USD","A","1968",45791.9473,
"AUS","GNI","TOT","MLN_USD","A","1969",51522.2151,
"AUS","GNI","TOT","MLN_USD","A","1970",58078.4134,
"AUS","GNI","TOT","MLN_USD","A","1971",63715.8191,
"AUS","GNI","TOT","MLN_USD","A","1972",69691.0014,
"AUS","GNI","TOT","MLN_USD","A","1973",78396.2517,
"AUS","GNI","TOT","MLN_USD","A","1974",86323.5652,
"AUS","GNI","TOT","MLN_USD","A","1975",96645.4459,
"AUS","GNI","TOT","MLN_USD","A","1976",103327.418,
"AUS","GNI","TOT","MLN_USD","A","1977",108708.2329,
"AUS","GNI","TOT","MLN_USD","A","1978",121564.2171,
"AUS","GNI","TOT","MLN_USD","A","1979",136226.2428,
"AUS","GNI","TOT","MLN_USD","A","1980",154169.8069,
"AUS","GNI","TOT","MLN_USD","A","1981",174510.9944,
"AUS","GNI","TOT","MLN_USD","A","1982",180149.1007,
"AUS","GNI","TOT","MLN_USD","A","1983",193725.8604,
"AUS","GNI","TOT","MLN_USD","A","1984",208334.0202,
"AUS","GNI","TOT","MLN_USD","A","1985",224393.2669,
"AUS","GNI","TOT","MLN_USD","A","1986",235126.2908,
"AUS","GNI","TOT","MLN_USD","A","1987",255518.4656,
"AUS","GNI","TOT","MLN_USD","A","1988",274616.8898,
"AUS","GNI","TOT","MLN_USD","A","1989",288460.9193,
"AUS","GNI","TOT","MLN_USD","A","1990",291208.5764,
"AUS","GNI","TOT","MLN_USD","A","1991",301021.0203,
"AUS","GNI","TOT","MLN_USD","A","1992",324666.0836,
"AUS","GNI","TOT","MLN_USD","A","1993",346777.4021,
"AUS","GNI","TOT","MLN_USD","A","1994",367037.0209,
"AUS","GNI","TOT","MLN_USD","A","1995",388257.962,
"AUS","GNI","TOT","MLN_USD","A","1996",408925.2084,
"AUS","GNI","TOT","MLN_USD","A","1997",435388.0737,
"AUS","GNI","TOT","MLN_USD","A","1998",462026.1887,
"AUS","GNI","TOT","MLN_USD","A","1999",495059.1773,
"AUS","GNI","TOT","MLN_USD","A","2000",522462.8319,
"AUS","GNI","TOT","MLN_USD","A","2001",552677.9391,
"AUS","GNI","TOT","MLN_USD","A","2002",582406.9653,
"AUS","GNI","TOT","MLN_USD","A","2003",617751.9559,
"AUS","GNI","TOT","MLN_USD","A","2004",649786.0855,
"AUS","GNI","TOT","MLN_USD","A","2005",689749.7089,
"AUS","GNI","TOT","MLN_USD","A","2006",739442.0451,
"AUS","GNI","TOT","MLN_USD","A","2007",791008.044,
"AUS","GNI","TOT","MLN_USD","A","2008",822102.922,
"AUS","GNI","TOT","MLN_USD","A","2009",867639.1213,
"AUS","GNI","TOT","MLN_USD","A","2010",904842.7216,
"AUS","GNI","TOT","MLN_USD","A","2011",962147.0761,
"AUS","GNI","TOT","MLN_USD","A","2012",972715.5658,
"AUS","GNI","TOT","MLN_USD","A","2013",1075720.5083,
"AUS","GNI","TOT","MLN_USD","A","2014",1095630.6532,
"AUS","GNI","TOT","MLN_USD","A","2015",1099954.1866,
"AUS","GNI","TOT","MLN_USD","A","2016",1183348.4134,
"AUS","GNI","TOT","MLN_USD","A","2017",1222597.8495,
"AUS","GNI","TOT","MLN_USD","A","2018",1297755.0576,
"AUS","GNI","TOT","USD_CAP","A","1960",2405.351541,
"AUS","GNI","TOT","USD_CAP","A","1961",2385.600494,
"AUS","GNI","TOT","USD_CAP","A","1962",2565.003663,
"AUS","GNI","TOT","USD_CAP","A","1963",2746.791788,
"AUS","GNI","TOT","USD_CAP","A","1964",2905.594058,
"AUS","GNI","TOT","USD_CAP","A","1965",2990.080794,
"AUS","GNI","TOT","USD_CAP","A","1966",3246.431224,
"AUS","GNI","TOT","USD_CAP","A","1967",3408.890843,
"AUS","GNI","TOT","USD_CAP","A","1968",3770.255494,
"AUS","GNI","TOT","USD_CAP","A","1969",4152.600464,
"AUS","GNI","TOT","USD_CAP","A","1970",4586.295698,
"AUS","GNI","TOT","USD_CAP","A","1971",4827.548467,
"AUS","GNI","TOT","USD_CAP","A","1972",5197.218632,
"AUS","GNI","TOT","USD_CAP","A","1973",5758.356899,
"AUS","GNI","TOT","USD_CAP","A","1974",6240.869179,
"AUS","GNI","TOT","USD_CAP","A","1975",6918.624753,
"AUS","GNI","TOT","USD_CAP","A","1976",7322.936532,
"AUS","GNI","TOT","USD_CAP","A","1977",7611.804202,
"AUS","GNI","TOT","USD_CAP","A","1978",8423.924135,
"AUS","GNI","TOT","USD_CAP","A","1979",9328.979287,
"AUS","GNI","TOT","USD_CAP","A","1980",10411.694101,
"AUS","GNI","TOT","USD_CAP","A","1981",11693.860899,
"AUS","GNI","TOT","USD_CAP","A","1982",11864.24709,
"AUS","GNI","TOT","USD_CAP","A","1983",12584.913137,
"AUS","GNI","TOT","USD_CAP","A","1984",13372.403313,
"AUS","GNI","TOT","USD_CAP","A","1985",14212.630044,
"AUS","GNI","TOT","USD_CAP","A","1986",14678.512888,
"AUS","GNI","TOT","USD_CAP","A","1987",15710.77451,
"AUS","GNI","TOT","USD_CAP","A","1988",16611.03119,
"AUS","GNI","TOT","USD_CAP","A","1989",17155.588024,
"AUS","GNI","TOT","USD_CAP","A","1990",17064.568995,
"AUS","GNI","TOT","USD_CAP","A","1991",17416.166417,
"AUS","GNI","TOT","USD_CAP","A","1992",18575.062279,
"AUS","GNI","TOT","USD_CAP","A","1993",19664.37964,
"AUS","GNI","TOT","USD_CAP","A","1994",20613.687958,
"AUS","GNI","TOT","USD_CAP","A","1995",21564.016573,
"AUS","GNI","TOT","USD_CAP","A","1996",22437.843398,
"AUS","GNI","TOT","USD_CAP","A","1997",23632.85424,
"AUS","GNI","TOT","USD_CAP","A","1998",24829.972091,
"AUS","GNI","TOT","USD_CAP","A","1999",26315.717764,
"AUS","GNI","TOT","USD_CAP","A","2000",27456.425624,
"AUS","GNI","TOT","USD_CAP","A","2001",28673.750515,
"AUS","GNI","TOT","USD_CAP","A","2002",29874.377554,
"AUS","GNI","TOT","USD_CAP","A","2003",31325.052149,
"AUS","GNI","TOT","USD_CAP","A","2004",32598.999911,
"AUS","GNI","TOT","USD_CAP","A","2005",34185.287506,
"AUS","GNI","TOT","USD_CAP","A","2006",36156.767157,
"AUS","GNI","TOT","USD_CAP","A","2007",37978.83789,
"AUS","GNI","TOT","USD_CAP","A","2008",38688.652842,
"AUS","GNI","TOT","USD_CAP","A","2009",39998.668677,
"AUS","GNI","TOT","USD_CAP","A","2010",41069.850018,
"AUS","GNI","TOT","USD_CAP","A","2011",43068.356137,
"AUS","GNI","TOT","USD_CAP","A","2012",42787.76105,
"AUS","GNI","TOT","USD_CAP","A","2013",46511.408561,
"AUS","GNI","TOT","USD_CAP","A","2014",46670.840624,
"AUS","GNI","TOT","USD_CAP","A","2015",46185.513376,
"AUS","GNI","TOT","USD_CAP","A","2016",48917.08921,
"AUS","GNI","TOT","USD_CAP","A","2017",49695.261323,
"AUS","GNI","TOT","USD_CAP","A","2018",51924.948991,
"AUT","GNI","TOT","MLN_USD","A","1970",28672.0903,"E"
"AUT","GNI","TOT","MLN_USD","A","1971",31688.5809,"E"
"AUT","GNI","TOT","MLN_USD","A","1972",35071.7369,"E"
"AUT","GNI","TOT","MLN_USD","A","1973",38778.6339,"E"
"AUT","GNI","TOT","MLN_USD","A","1974",43997.8422,"E"
"AUT","GNI","TOT","MLN_USD","A","1975",47865.3016,"E"
"AUT","GNI","TOT","MLN_USD","A","1976",52733.5505,"E"
"AUT","GNI","TOT","MLN_USD","A","1977",58806.8651,"E"
"AUT","GNI","TOT","MLN_USD","A","1978",62773.6321,"E"
"AUT","GNI","TOT","MLN_USD","A","1979",71650.1511,"E"
"AUT","GNI","TOT","MLN_USD","A","1980",79416.0985,"E"
"AUT","GNI","TOT","MLN_USD","A","1981",86613.3792,"E"
"AUT","GNI","TOT","MLN_USD","A","1982",93951.4247,"E"
"AUT","GNI","TOT","MLN_USD","A","1983",100753.1789,"E"
"AUT","GNI","TOT","MLN_USD","A","1984",104340.4032,"E"
"AUT","GNI","TOT","MLN_USD","A","1985",110355.3463,"E"
"AUT","GNI","TOT","MLN_USD","A","1986",114825.8468,"E"
"AUT","GNI","TOT","MLN_USD","A","1987",119281.9007,"E"
"AUT","GNI","TOT","MLN_USD","A","1988",128045.1768,"E"
"AUT","GNI","TOT","MLN_USD","A","1989",138376.3574,"E"
"AUT","GNI","TOT","MLN_USD","A","1990",149910.6369,"E"
"AUT","GNI","TOT","MLN_USD","A","1991",159469.137,"E"
"AUT","GNI","TOT","MLN_USD","A","1992",167055.1636,"E"
"AUT","GNI","TOT","MLN_USD","A","1993",171965.072,"E"
"AUT","GNI","TOT","MLN_USD","A","1994",179636.6975,"E"
"AUT","GNI","TOT","MLN_USD","A","1995",187282.622,
"AUT","GNI","TOT","MLN_USD","A","1996",195018.6876,
"AUT","GNI","TOT","MLN_USD","A","1997",201595.5233,
"AUT","GNI","TOT","MLN_USD","A","1998",211483.6837,
"AUT","GNI","TOT","MLN_USD","A","1999",217144.0425,
"AUT","GNI","TOT","MLN_USD","A","2000",233385.7175,
"AUT","GNI","TOT","MLN_USD","A","2001",235712.7811,
"AUT","GNI","TOT","MLN_USD","A","2002",250522.3215,
"AUT","GNI","TOT","MLN_USD","A","2003",260116.3026,
"AUT","GNI","TOT","MLN_USD","A","2004",275368.2623,
"AUT","GNI","TOT","MLN_USD","A","2005",287476.6689,
"AUT","GNI","TOT","MLN_USD","A","2006",311765.7974,
"AUT","GNI","TOT","MLN_USD","A","2007",326427.0517,
