"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1960",14526.0841,
"AUS","HHEXP","TOT","MLN_USD","A","1961",14964.5525,
"AUS","HHEXP","TOT","MLN_USD","A","1962",16296.7539,
"AUS","HHEXP","TOT","MLN_USD","A","1963",17437.5301,
"AUS","HHEXP","TOT","MLN_USD","A","1964",18637.78,
"AUS","HHEXP","TOT","MLN_USD","A","1965",19922.2238,
"AUS","HHEXP","TOT","MLN_USD","A","1966",21453.146,
"AUS","HHEXP","TOT","MLN_USD","A","1967",23289.0776,
"AUS","HHEXP","TOT","MLN_USD","A","1968",25626.4905,
"AUS","HHEXP","TOT","MLN_USD","A","1969",28224.0448,
"AUS","HHEXP","TOT","MLN_USD","A","1970",32009.6472,
"AUS","HHEXP","TOT","MLN_USD","A","1971",34975.4218,
"AUS","HHEXP","TOT","MLN_USD","A","1972",37946.8154,
"AUS","HHEXP","TOT","MLN_USD","A","1973",42132.9264,
"AUS","HHEXP","TOT","MLN_USD","A","1974",48183.8043,
"AUS","HHEXP","TOT","MLN_USD","A","1975",53964.4386,
"AUS","HHEXP","TOT","MLN_USD","A","1976",59066.6794,
"AUS","HHEXP","TOT","MLN_USD","A","1977",63721.5369,
"AUS","HHEXP","TOT","MLN_USD","A","1978",69802.4741,
"AUS","HHEXP","TOT","MLN_USD","A","1979",77065.7638,
"AUS","HHEXP","TOT","MLN_USD","A","1980",86723.885,
"AUS","HHEXP","TOT","MLN_USD","A","1981",99854.5997,
"AUS","HHEXP","TOT","MLN_USD","A","1982",107336.7354,
"AUS","HHEXP","TOT","MLN_USD","A","1983",111497.7444,
"AUS","HHEXP","TOT","MLN_USD","A","1984",116785.6157,
"AUS","HHEXP","TOT","MLN_USD","A","1985",128800.8959,
"AUS","HHEXP","TOT","MLN_USD","A","1986",136127.2916,
"AUS","HHEXP","TOT","MLN_USD","A","1987",144241.9479,
"AUS","HHEXP","TOT","MLN_USD","A","1988",153872.165,
"AUS","HHEXP","TOT","MLN_USD","A","1989",164961.7418,
"AUS","HHEXP","TOT","MLN_USD","A","1990",173609.2818,
"AUS","HHEXP","TOT","MLN_USD","A","1991",184623.1407,
"AUS","HHEXP","TOT","MLN_USD","A","1992",194369.5112,
"AUS","HHEXP","TOT","MLN_USD","A","1993",204652.0692,
"AUS","HHEXP","TOT","MLN_USD","A","1994",220100.3002,
"AUS","HHEXP","TOT","MLN_USD","A","1995",232043.078,
"AUS","HHEXP","TOT","MLN_USD","A","1996",241994.4404,
"AUS","HHEXP","TOT","MLN_USD","A","1997",258839.457,
"AUS","HHEXP","TOT","MLN_USD","A","1998",277705.6186,
"AUS","HHEXP","TOT","MLN_USD","A","1999",296001.3879,
"AUS","HHEXP","TOT","MLN_USD","A","2000",315278.5196,
"AUS","HHEXP","TOT","MLN_USD","A","2001",329344.0792,
"AUS","HHEXP","TOT","MLN_USD","A","2002",350556.3462,
"AUS","HHEXP","TOT","MLN_USD","A","2003",369120.7925,
"AUS","HHEXP","TOT","MLN_USD","A","2004",388856.2588,
"AUS","HHEXP","TOT","MLN_USD","A","2005",407168.6849,
"AUS","HHEXP","TOT","MLN_USD","A","2006",439060.8759,
"AUS","HHEXP","TOT","MLN_USD","A","2007",467124.0219,
"AUS","HHEXP","TOT","MLN_USD","A","2008",466892.529,
"AUS","HHEXP","TOT","MLN_USD","A","2009",507135.1087,
"AUS","HHEXP","TOT","MLN_USD","A","2010",515796.2454,
"AUS","HHEXP","TOT","MLN_USD","A","2011",541015.2319,
"AUS","HHEXP","TOT","MLN_USD","A","2012",554224.7853,
"AUS","HHEXP","TOT","MLN_USD","A","2013",618420.0903,
"AUS","HHEXP","TOT","MLN_USD","A","2014",639703.0832,
"AUS","HHEXP","TOT","MLN_USD","A","2015",656213.2824,
"AUS","HHEXP","TOT","MLN_USD","A","2016",689858.4271,
"AUS","HHEXP","TOT","MLN_USD","A","2017",711943.0145,
"AUS","HHEXP","TOT","MLN_USD","A","2018",745618.3346,
"AUT","HHEXP","TOT","MLN_USD","A","1970",15345.0607,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1971",17008.0255,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1972",18627.261,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1973",20422.0094,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1974",23033.734,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1975",26333.184,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1976",29296.607,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1977",33181.5443,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1978",34275.5925,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1979",38854.6176,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1980",43628.4833,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1981",48569.9171,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1982",52749.394,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1983",57651.3136,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1984",58658.1743,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1985",61896.348,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1986",63695.1109,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1987",65990.6235,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1988",69903.3283,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1989",75036.4718,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1990",81096.8645,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1991",85889.7221,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1992",90785.8018,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1993",93247,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1994",96913.1924,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1995",100147.725,
"AUT","HHEXP","TOT","MLN_USD","A","1996",105044.3613,
"AUT","HHEXP","TOT","MLN_USD","A","1997",107446.6579,
"AUT","HHEXP","TOT","MLN_USD","A","1998",111903.2179,
"AUT","HHEXP","TOT","MLN_USD","A","1999",114549.447,
"AUT","HHEXP","TOT","MLN_USD","A","2000",122788.0964,
"AUT","HHEXP","TOT","MLN_USD","A","2001",125174.9907,
"AUT","HHEXP","TOT","MLN_USD","A","2002",130389.127,
"AUT","HHEXP","TOT","MLN_USD","A","2003",136338.2843,
"AUT","HHEXP","TOT","MLN_USD","A","2004",143564.0795,
"AUT","HHEXP","TOT","MLN_USD","A","2005",149903.8941,
"AUT","HHEXP","TOT","MLN_USD","A","2006",160049.7366,
"AUT","HHEXP","TOT","MLN_USD","A","2007",164134.6248,
"AUT","HHEXP","TOT","MLN_USD","A","2008",171924.4594,
"AUT","HHEXP","TOT","MLN_USD","A","2009",176036.3719,
"AUT","HHEXP","TOT","MLN_USD","A","2010",181193.0528,
"AUT","HHEXP","TOT","MLN_USD","A","2011",191942.4901,
"AUT","HHEXP","TOT","MLN_USD","A","2012",201680.9001,
"AUT","HHEXP","TOT","MLN_USD","A","2013",209858.1664,
"AUT","HHEXP","TOT","MLN_USD","A","2014",213990.2364,
"AUT","HHEXP","TOT","MLN_USD","A","2015",217782.6278,
"AUT","HHEXP","TOT","MLN_USD","A","2016",230816.9811,
"AUT","HHEXP","TOT","MLN_USD","A","2017",240737.648,
