"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ALCOHOL","TOT","LT_CAP15","A","1995",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1996",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1997",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1998",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","1999",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2000",10.2,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2001",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2002",10.4,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2003",10.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2004",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2005",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2006",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2007",10.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2008",10.6,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2009",10.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2010",10.3,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2011",10,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2012",9.9,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2013",9.8,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2015",9.7,
"AUS","ALCOHOL","TOT","LT_CAP15","A","2016",9.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1995",14.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1996",14.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1997",13.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1998",13.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","1999",13.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2000",13.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2001",12.8,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2002",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2003",12.7,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2004",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2005",12.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2006",12.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2007",12.9,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2008",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2009",12.1,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2010",12.5,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2011",12.2,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2012",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2013",12,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2014",12.4,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2015",11.6,
"AUT","ALCOHOL","TOT","LT_CAP15","A","2016",11.8,
"BEL","ALCOHOL","TOT","LT_CAP15","A","1995",11,
"BEL","ALCOHOL","TOT","LT_CAP15","A","1996",10.9,
"BEL","ALCOHOL","TOT","LT_CAP15","A","1997",10.9,
"BEL","ALCOHOL","TOT","LT_CAP15","A","1998",9.9,
"BEL","ALCOHOL","TOT","LT_CAP15","A","1999",10.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2000",11.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2001",11.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2002",11.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2003",11.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2004",12.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2005",12.2,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2006",10.9,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2007",10.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2008",10.5,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2009",10.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2010",10.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2011",10.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2012",10.1,
