"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","1995",24.1,
"AUS","SMOKERS","TOT","PC_POP15","A","1998",22.1,
"AUS","SMOKERS","TOT","PC_POP15","A","2001",19.6,
"AUS","SMOKERS","TOT","PC_POP15","A","2004",17.8,
"AUS","SMOKERS","TOT","PC_POP15","A","2007",16.9,
"AUS","SMOKERS","TOT","PC_POP15","A","2010",15.4,
"AUS","SMOKERS","TOT","PC_POP15","A","2013",13,
"AUS","SMOKERS","TOT","PC_POP15","A","2016",12.4,
"AUT","SMOKERS","TOT","PC_POP15","A","1997",24.3,
"AUT","SMOKERS","TOT","PC_POP15","A","2006",23.2,
"AUT","SMOKERS","TOT","PC_POP15","A","2014",24.3,
"BEL","SMOKERS","TOT","PC_POP15","A","1997",25.5,
"BEL","SMOKERS","TOT","PC_POP15","A","2001",24.1,
"BEL","SMOKERS","TOT","PC_POP15","A","2004",23.7,
"BEL","SMOKERS","TOT","PC_POP15","A","2008",20.5,
"BEL","SMOKERS","TOT","PC_POP15","A","2013",18.9,
"CAN","SMOKERS","TOT","PC_POP15","A","1996",24.5,
"CAN","SMOKERS","TOT","PC_POP15","A","1998",23.8,
"CAN","SMOKERS","TOT","PC_POP15","A","2001",22.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2003",18.7,
"CAN","SMOKERS","TOT","PC_POP15","A","2005",17.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2007",18.2,
"CAN","SMOKERS","TOT","PC_POP15","A","2008",17.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2009",16.2,
"CAN","SMOKERS","TOT","PC_POP15","A","2010",16.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2011",15.7,
"CAN","SMOKERS","TOT","PC_POP15","A","2012",16.1,
"CAN","SMOKERS","TOT","PC_POP15","A","2013",14.9,
"CAN","SMOKERS","TOT","PC_POP15","A","2014",14,
"CAN","SMOKERS","TOT","PC_POP15","A","2015",13.1,"B"
"CAN","SMOKERS","TOT","PC_POP15","A","2016",12.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2017",12,
"CZE","SMOKERS","TOT","PC_POP15","A","1996",26.2,
"CZE","SMOKERS","TOT","PC_POP15","A","1999",23.5,
"CZE","SMOKERS","TOT","PC_POP15","A","2002",24.1,
"CZE","SMOKERS","TOT","PC_POP15","A","2003",27.2,"B"
"CZE","SMOKERS","TOT","PC_POP15","A","2004",25.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2005",24.3,
"CZE","SMOKERS","TOT","PC_POP15","A","2006",23.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2007",24,
"CZE","SMOKERS","TOT","PC_POP15","A","2008",21.8,
"CZE","SMOKERS","TOT","PC_POP15","A","2009",23.8,
"CZE","SMOKERS","TOT","PC_POP15","A","2010",22.8,
"CZE","SMOKERS","TOT","PC_POP15","A","2011",21.7,
"CZE","SMOKERS","TOT","PC_POP15","A","2012",22.9,
"CZE","SMOKERS","TOT","PC_POP15","A","2013",22.2,
"CZE","SMOKERS","TOT","PC_POP15","A","2014",22.3,
"CZE","SMOKERS","TOT","PC_POP15","A","2015",18.2,
"CZE","SMOKERS","TOT","PC_POP15","A","2016",19.6,
"CZE","SMOKERS","TOT","PC_POP15","A","2017",18.4,
"DNK","SMOKERS","TOT","PC_POP15","A","1995",35.5,
"DNK","SMOKERS","TOT","PC_POP15","A","1996",34,
"DNK","SMOKERS","TOT","PC_POP15","A","1997",32,
"DNK","SMOKERS","TOT","PC_POP15","A","1998",31,
"DNK","SMOKERS","TOT","PC_POP15","A","1999",31,
"DNK","SMOKERS","TOT","PC_POP15","A","2000",30.5,
"DNK","SMOKERS","TOT","PC_POP15","A","2001",29.5,
"DNK","SMOKERS","TOT","PC_POP15","A","2002",28,
"DNK","SMOKERS","TOT","PC_POP15","A","2003",28,
"DNK","SMOKERS","TOT","PC_POP15","A","2004",26,
"DNK","SMOKERS","TOT","PC_POP15","A","2005",26,
"DNK","SMOKERS","TOT","PC_POP15","A","2006",25,
"DNK","SMOKERS","TOT","PC_POP15","A","2007",24,
"DNK","SMOKERS","TOT","PC_POP15","A","2008",23,
"DNK","SMOKERS","TOT","PC_POP15","A","2009",19,
