"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GDP","TOT","USD_CAP","A","2000",27461.253515,
"DEU","GDP","TOT","USD_CAP","A","2001",28670.656532,
"DEU","GDP","TOT","USD_CAP","A","2002",29504.28924,
"DEU","GDP","TOT","USD_CAP","A","2003",30236.403891,
"DEU","GDP","TOT","USD_CAP","A","2004",31712.917409,
"DEU","GDP","TOT","USD_CAP","A","2005",32236.740986,
"DEU","GDP","TOT","USD_CAP","A","2006",34624.968884,
"DEU","GDP","TOT","USD_CAP","A","2007",36820.153243,
"DEU","GDP","TOT","USD_CAP","A","2008",38432.448211,
"DEU","GDP","TOT","USD_CAP","A","2009",37501.127561,
"DEU","GDP","TOT","USD_CAP","A","2010",39703.558088,
"DEU","GDP","TOT","USD_CAP","A","2011",42541.513126,
"DEU","GDP","TOT","USD_CAP","A","2012",43359.541048,
"DEU","GDP","TOT","USD_CAP","A","2013",44993.667838,
"DEU","GDP","TOT","USD_CAP","A","2014",47011.280402,
"DEU","GDP","TOT","USD_CAP","A","2015",47683.547301,
"OECD","GDP","TOT","USD_CAP","A","2000",25235.972194,
"OECD","GDP","TOT","USD_CAP","A","2001",26033.270182,
"OECD","GDP","TOT","USD_CAP","A","2002",26860.981294,
"OECD","GDP","TOT","USD_CAP","A","2003",27648.249903,
"OECD","GDP","TOT","USD_CAP","A","2004",29125.248907,
"OECD","GDP","TOT","USD_CAP","A","2005",30518.714721,
"OECD","GDP","TOT","USD_CAP","A","2006",32548.537775,
"OECD","GDP","TOT","USD_CAP","A","2007",34114.408189,
"OECD","GDP","TOT","USD_CAP","A","2008",34981.525122,"B"
"OECD","GDP","TOT","USD_CAP","A","2009",34046.161015,
"OECD","GDP","TOT","USD_CAP","A","2010",35351.728904,"B"
"OECD","GDP","TOT","USD_CAP","A","2011",36741.058931,"P"
"OECD","GDP","TOT","USD_CAP","A","2012",37726.672616,"P"
"OECD","GDP","TOT","USD_CAP","A","2013",39094.742087,"P"
"OECD","GDP","TOT","USD_CAP","A","2014",40261.550104,"P"
"OECD","GDP","TOT","USD_CAP","A","2015",41452.948067,"P"
