"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGEXP","TOT","PC_GDP","A","1995",55.8060741611047,
"AUT","GGEXP","TOT","PC_GDP","A","1996",55.6243949300562,
"AUT","GGEXP","TOT","PC_GDP","A","1997",52.27210394706,
"AUT","GGEXP","TOT","PC_GDP","A","1998",52.2242426288898,
"AUT","GGEXP","TOT","PC_GDP","A","1999",52.0615197660953,
"AUT","GGEXP","TOT","PC_GDP","A","2000",51.0329883250733,
"AUT","GGEXP","TOT","PC_GDP","A","2001",51.3557052104913,
"AUT","GGEXP","TOT","PC_GDP","A","2002",51.0543046642687,
"AUT","GGEXP","TOT","PC_GDP","A","2003",51.2709905691504,
"AUT","GGEXP","TOT","PC_GDP","A","2004",53.7051142847075,
"AUT","GGEXP","TOT","PC_GDP","A","2005",51.1555228390606,
"AUT","GGEXP","TOT","PC_GDP","A","2006",50.3799335721589,
"AUT","GGEXP","TOT","PC_GDP","A","2007",49.2441121401072,
"AUT","GGEXP","TOT","PC_GDP","A","2008",49.8739846837189,
"AUT","GGEXP","TOT","PC_GDP","A","2009",54.1448005065337,
"AUT","GGEXP","TOT","PC_GDP","A","2010",52.8397855413296,
"AUT","GGEXP","TOT","PC_GDP","A","2011",50.8969148481795,
"AUT","GGEXP","TOT","PC_GDP","A","2012",51.213027812319,
"AUT","GGEXP","TOT","PC_GDP","A","2013",51.6476665446164,
"AUT","GGEXP","TOT","PC_GDP","A","2014",52.4309201666404,
"AUT","GGEXP","TOT","PC_GDP","A","2015",51.1314560409596,
"AUT","GGEXP","TOT","PC_GDP","A","2016",50.1145187047591,
"AUT","GGEXP","TOT","PC_GDP","A","2017",49.1076552130207,
"AUT","GGEXP","TOT","PC_GDP","A","2018",48.6496477137835,
"BEL","GGEXP","TOT","PC_GDP","A","1995",52.6445312370094,
"BEL","GGEXP","TOT","PC_GDP","A","1996",53.0522369288679,
"BEL","GGEXP","TOT","PC_GDP","A","1997",51.6019303752987,
"BEL","GGEXP","TOT","PC_GDP","A","1998",50.9595750735737,
"BEL","GGEXP","TOT","PC_GDP","A","1999",50.49688907818,
"BEL","GGEXP","TOT","PC_GDP","A","2000",49.3982675472469,
"BEL","GGEXP","TOT","PC_GDP","A","2001",49.3794803486032,
"BEL","GGEXP","TOT","PC_GDP","A","2002",49.9034787537982,
"BEL","GGEXP","TOT","PC_GDP","A","2003",51.0473676761254,
"BEL","GGEXP","TOT","PC_GDP","A","2004",49.3189299766828,
