"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","USD_CAP","A","1995",21564.016573,
"AUS","GNI","TOT","USD_CAP","A","1996",22437.843398,
"AUS","GNI","TOT","USD_CAP","A","1997",23632.85424,
"AUS","GNI","TOT","USD_CAP","A","1998",24829.972091,
"AUS","GNI","TOT","USD_CAP","A","1999",26315.717764,
"AUS","GNI","TOT","USD_CAP","A","2000",27456.425624,
"AUS","GNI","TOT","USD_CAP","A","2001",28673.750515,
"AUS","GNI","TOT","USD_CAP","A","2002",29874.377554,
"AUS","GNI","TOT","USD_CAP","A","2003",31325.052149,
"AUS","GNI","TOT","USD_CAP","A","2004",32598.999911,
"AUS","GNI","TOT","USD_CAP","A","2005",34185.287506,
"AUS","GNI","TOT","USD_CAP","A","2006",36156.767157,
"AUS","GNI","TOT","USD_CAP","A","2007",37978.83789,
"AUS","GNI","TOT","USD_CAP","A","2008",38688.652842,
"AUS","GNI","TOT","USD_CAP","A","2009",39998.668677,
"AUS","GNI","TOT","USD_CAP","A","2010",41069.850018,
"AUS","GNI","TOT","USD_CAP","A","2011",43068.356137,
"AUS","GNI","TOT","USD_CAP","A","2012",42787.76105,
"AUS","GNI","TOT","USD_CAP","A","2013",46511.408561,
"AUS","GNI","TOT","USD_CAP","A","2014",46670.840624,
"AUS","GNI","TOT","USD_CAP","A","2015",46185.513376,
"AUS","GNI","TOT","USD_CAP","A","2016",48917.08921,
"AUS","GNI","TOT","USD_CAP","A","2017",49695.261323,
"AUS","GNI","TOT","USD_CAP","A","2018",51924.948991,
"AUT","GNI","TOT","USD_CAP","A","1995",23562.666278,
"AUT","GNI","TOT","USD_CAP","A","1996",24502.864126,
"AUT","GNI","TOT","USD_CAP","A","1997",25300.512794,
"AUT","GNI","TOT","USD_CAP","A","1998",26512.382832,
"AUT","GNI","TOT","USD_CAP","A","1999",27169.077436,
"AUT","GNI","TOT","USD_CAP","A","2000",29131.098407,
"AUT","GNI","TOT","USD_CAP","A","2001",29309.151147,
"AUT","GNI","TOT","USD_CAP","A","2002",30997.101076,
"AUT","GNI","TOT","USD_CAP","A","2003",32040.952519,
"AUT","GNI","TOT","USD_CAP","A","2004",33707.111946,
"AUT","GNI","TOT","USD_CAP","A","2005",34950.389382,
"AUT","GNI","TOT","USD_CAP","A","2006",37707.759825,
"AUT","GNI","TOT","USD_CAP","A","2007",39351.37002,
"AUT","GNI","TOT","USD_CAP","A","2008",41660.642669,
"AUT","GNI","TOT","USD_CAP","A","2009",40948.77162,
"AUT","GNI","TOT","USD_CAP","A","2010",42400.98847,
"AUT","GNI","TOT","USD_CAP","A","2011",44619.143494,
"AUT","GNI","TOT","USD_CAP","A","2012",46524.585901,
"AUT","GNI","TOT","USD_CAP","A","2013",48065.980083,
"AUT","GNI","TOT","USD_CAP","A","2014",48877.877018,
"AUT","GNI","TOT","USD_CAP","A","2015",49463.586692,
