"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1995",12.762,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1996",13.106,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1997",13.437,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1998",14.084,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1999",14.679,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2000",15.702,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2001",16.059,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2002",15.374,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2003",15.761,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2004",15.656,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2005",15.218,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2006",15.276,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2007",15.201,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2008",15.412,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2009",15.535,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2010",15.63,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2011",15.311,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2012",15.308,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2013",14.989,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2014",14.386,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",14.499,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",14.73,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","1995",9.542,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","1996",9.839,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","1997",11.213,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","1998",11.843,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","1999",12.551,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2000",12.734,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2001",12.897,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2002",13.154,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2003",13.607,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2004",13.308,"B"
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2005",13.239,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2006",13.271,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2007",13.486,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2008",13.432,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2009",12.369,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2010",12.22,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2011",12.291,
"AUT","PHARMAEXP","TOT","PC_HEALTHXP","A","2012",12.063,
