"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCEXP","PUB","PC_GDP","A","1995",16.915,
"AUS","SOCEXP","PUB","PC_GDP","A","1996",17.029,
"AUS","SOCEXP","PUB","PC_GDP","A","1997",16.788,
"AUS","SOCEXP","PUB","PC_GDP","A","1998",17.621,
"AUS","SOCEXP","PUB","PC_GDP","A","1999",17.249,
"AUS","SOCEXP","PUB","PC_GDP","A","2000",18.253,
"AUS","SOCEXP","PUB","PC_GDP","A","2001",17.548,
"AUS","SOCEXP","PUB","PC_GDP","A","2002",17.356,
"AUS","SOCEXP","PUB","PC_GDP","A","2003",17.564,
"AUS","SOCEXP","PUB","PC_GDP","A","2004",17.258,
"AUS","SOCEXP","PUB","PC_GDP","A","2005",16.709,
"AUS","SOCEXP","PUB","PC_GDP","A","2006",15.736,
"AUS","SOCEXP","PUB","PC_GDP","A","2007",15.895,
"AUS","SOCEXP","PUB","PC_GDP","A","2008",17.089,
"AUS","SOCEXP","PUB","PC_GDP","A","2009",16.933,
"AUS","SOCEXP","PUB","PC_GDP","A","2010",16.594,
"AUS","SOCEXP","PUB","PC_GDP","A","2011",17.052,
"AUS","SOCEXP","PUB","PC_GDP","A","2012",17.293,
"AUS","SOCEXP","PUB","PC_GDP","A","2013",17.636,
"AUS","SOCEXP","PUB","PC_GDP","A","2014",18.266,
"AUS","SOCEXP","PUB","PC_GDP","A","2015",18.535,
"AUS","SOCEXP","PUB","PC_GDP","A","2016",17.808,
"AUT","SOCEXP","PUB","PC_GDP","A","1995",26.276,
"AUT","SOCEXP","PUB","PC_GDP","A","1996",26.399,
"AUT","SOCEXP","PUB","PC_GDP","A","1997",25.854,
"AUT","SOCEXP","PUB","PC_GDP","A","1998",25.632,
"AUT","SOCEXP","PUB","PC_GDP","A","1999",25.954,
"AUT","SOCEXP","PUB","PC_GDP","A","2000",25.688,
"AUT","SOCEXP","PUB","PC_GDP","A","2001",25.751,
"AUT","SOCEXP","PUB","PC_GDP","A","2002",26.047,
"AUT","SOCEXP","PUB","PC_GDP","A","2003",26.585,
"AUT","SOCEXP","PUB","PC_GDP","A","2004",26.329,
"AUT","SOCEXP","PUB","PC_GDP","A","2005",25.952,
"AUT","SOCEXP","PUB","PC_GDP","A","2006",25.665,
"AUT","SOCEXP","PUB","PC_GDP","A","2007",25.086,
"AUT","SOCEXP","PUB","PC_GDP","A","2008",25.515,
"AUT","SOCEXP","PUB","PC_GDP","A","2009",27.466,
"AUT","SOCEXP","PUB","PC_GDP","A","2010",27.562,
"AUT","SOCEXP","PUB","PC_GDP","A","2011",26.743,
"AUT","SOCEXP","PUB","PC_GDP","A","2012",27.109,
"AUT","SOCEXP","PUB","PC_GDP","A","2013",27.513,
"AUT","SOCEXP","PUB","PC_GDP","A","2014",27.735,
"AUT","SOCEXP","PUB","PC_GDP","A","2015",27.701,
"AUT","SOCEXP","PUB","PC_GDP","A","2016",27.837,
"AUT","SOCEXP","PUB","PC_GDP","A","2017",27.083,
"AUT","SOCEXP","PUB","PC_GDP","A","2018",26.601,
"BEL","SOCEXP","PUB","PC_GDP","A","1995",25.169,
"BEL","SOCEXP","PUB","PC_GDP","A","1996",25.737,
"BEL","SOCEXP","PUB","PC_GDP","A","1997",24.723,
"BEL","SOCEXP","PUB","PC_GDP","A","1998",24.73,
"BEL","SOCEXP","PUB","PC_GDP","A","1999",24.536,
"BEL","SOCEXP","PUB","PC_GDP","A","2000",23.485,
"BEL","SOCEXP","PUB","PC_GDP","A","2001",23.989,
"BEL","SOCEXP","PUB","PC_GDP","A","2002",24.341,
"BEL","SOCEXP","PUB","PC_GDP","A","2003",25.491,
"BEL","SOCEXP","PUB","PC_GDP","A","2004",25.251,
"BEL","SOCEXP","PUB","PC_GDP","A","2005",25.229,
"BEL","SOCEXP","PUB","PC_GDP","A","2006",25.109,
"BEL","SOCEXP","PUB","PC_GDP","A","2007",24.89,
"BEL","SOCEXP","PUB","PC_GDP","A","2008",26.258,
"BEL","SOCEXP","PUB","PC_GDP","A","2009",28.553,
"BEL","SOCEXP","PUB","PC_GDP","A","2010",28.284,
"BEL","SOCEXP","PUB","PC_GDP","A","2011",28.732,
"BEL","SOCEXP","PUB","PC_GDP","A","2012",28.685,
"BEL","SOCEXP","PUB","PC_GDP","A","2013",29.213,
"BEL","SOCEXP","PUB","PC_GDP","A","2014",29.448,
"BEL","SOCEXP","PUB","PC_GDP","A","2015",29.188,
"BEL","SOCEXP","PUB","PC_GDP","A","2016",29.206,
"BEL","SOCEXP","PUB","PC_GDP","A","2017",29.179,
