"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","1995",12.2,
"AUS","SUICIDE","TOT","100000PER","A","1996",13.5,
"AUS","SUICIDE","TOT","100000PER","A","1997",14.5,
"AUS","SUICIDE","TOT","100000PER","A","1998",14.1,"B"
"AUS","SUICIDE","TOT","100000PER","A","1999",13.3,
"AUS","SUICIDE","TOT","100000PER","A","2000",12.6,
"AUS","SUICIDE","TOT","100000PER","A","2001",12.8,
"AUS","SUICIDE","TOT","100000PER","A","2002",11.9,
"AUS","SUICIDE","TOT","100000PER","A","2003",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2004",10.6,
"AUS","SUICIDE","TOT","100000PER","A","2006",10.5,
"AUS","SUICIDE","TOT","100000PER","A","2007",10.6,
"AUS","SUICIDE","TOT","100000PER","A","2008",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2009",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2010",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2011",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2012",11.4,
"AUS","SUICIDE","TOT","100000PER","A","2013",11.3,
"AUS","SUICIDE","TOT","100000PER","A","2014",12.5,
"AUS","SUICIDE","TOT","100000PER","A","2015",12.9,
"AUS","SUICIDE","TOT","100000PER","A","2016",11.9,
"AUT","SUICIDE","TOT","100000PER","A","1995",22.4,
"AUT","SUICIDE","TOT","100000PER","A","1996",22.3,
"AUT","SUICIDE","TOT","100000PER","A","1997",19.7,
"AUT","SUICIDE","TOT","100000PER","A","1998",19.5,
"AUT","SUICIDE","TOT","100000PER","A","1999",19.3,
"AUT","SUICIDE","TOT","100000PER","A","2000",19.4,
"AUT","SUICIDE","TOT","100000PER","A","2001",18,
"AUT","SUICIDE","TOT","100000PER","A","2002",18.6,"B"
"AUT","SUICIDE","TOT","100000PER","A","2003",17.4,
"AUT","SUICIDE","TOT","100000PER","A","2004",16.7,
"AUT","SUICIDE","TOT","100000PER","A","2005",16.2,
"AUT","SUICIDE","TOT","100000PER","A","2006",14.7,
"AUT","SUICIDE","TOT","100000PER","A","2007",14.6,
"AUT","SUICIDE","TOT","100000PER","A","2008",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2009",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2010",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2011",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2012",13.7,
"AUT","SUICIDE","TOT","100000PER","A","2013",13.6,
"AUT","SUICIDE","TOT","100000PER","A","2014",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2015",12.9,
"AUT","SUICIDE","TOT","100000PER","A","2016",12.2,
"AUT","SUICIDE","TOT","100000PER","A","2017",12.4,
"BEL","SUICIDE","TOT","100000PER","A","1995",21.1,
"BEL","SUICIDE","TOT","100000PER","A","1996",19.6,
"BEL","SUICIDE","TOT","100000PER","A","1997",20.9,
"BEL","SUICIDE","TOT","100000PER","A","1998",19.6,"B"
"BEL","SUICIDE","TOT","100000PER","A","1999",17.8,
"BEL","SUICIDE","TOT","100000PER","A","2000",20.5,
"BEL","SUICIDE","TOT","100000PER","A","2001",20.5,
"BEL","SUICIDE","TOT","100000PER","A","2002",19.5,
"BEL","SUICIDE","TOT","100000PER","A","2003",19.7,
"BEL","SUICIDE","TOT","100000PER","A","2004",18.4,
"BEL","SUICIDE","TOT","100000PER","A","2005",18.6,
"BEL","SUICIDE","TOT","100000PER","A","2006",17.7,
"BEL","SUICIDE","TOT","100000PER","A","2007",16.7,
"BEL","SUICIDE","TOT","100000PER","A","2008",17.9,
"BEL","SUICIDE","TOT","100000PER","A","2009",17.9,
"BEL","SUICIDE","TOT","100000PER","A","2010",17.8,
"BEL","SUICIDE","TOT","100000PER","A","2011",18.1,
"BEL","SUICIDE","TOT","100000PER","A","2012",17.4,
"BEL","SUICIDE","TOT","100000PER","A","2013",16.2,
"BEL","SUICIDE","TOT","100000PER","A","2014",16.1,
"BEL","SUICIDE","TOT","100000PER","A","2015",15.8,
"BEL","SUICIDE","TOT","100000PER","A","2016",15.9,
"CAN","SUICIDE","TOT","100000PER","A","1995",13.4,
"CAN","SUICIDE","TOT","100000PER","A","1996",13.3,
"CAN","SUICIDE","TOT","100000PER","A","1997",12.3,
"CAN","SUICIDE","TOT","100000PER","A","1998",12.2,
"CAN","SUICIDE","TOT","100000PER","A","1999",13.2,
