"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2000",2.67,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2001",2.546,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2002",2.674,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2003",2.833,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2004",2.631,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2005",2.577,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2006",2.698,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2007",2.646,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2008",2.216,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2009",2.454,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2010",2.367,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2011",2.242,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2012",2.346,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2013",2.563,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2014",2.788,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2015",2.986,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2016",2.98,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2017",2.951,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2000",0.565,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2001",0.57,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2002",0.532,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2003",0.545,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2004",0.54,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2005",0.541,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2006",0.564,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2007",0.554,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2008",0.522,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2009",0.525,
