"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","A","1995",8.472281,
"AUS","UNEMP","TOT","PC_LF","A","1996",8.506114,
"AUS","UNEMP","TOT","PC_LF","A","1997",8.362488,
"AUS","UNEMP","TOT","PC_LF","A","1998",7.677429,
"AUS","UNEMP","TOT","PC_LF","A","1999",6.873791,
"AUS","UNEMP","TOT","PC_LF","A","2000",6.285546,
"AUS","UNEMP","TOT","PC_LF","A","2001",6.742173,
"AUS","UNEMP","TOT","PC_LF","A","2002",6.368911,
"AUS","UNEMP","TOT","PC_LF","A","2003",5.92842,
"AUS","UNEMP","TOT","PC_LF","A","2004",5.396734,
"AUS","UNEMP","TOT","PC_LF","A","2005",5.033881,
"AUS","UNEMP","TOT","PC_LF","A","2006",4.78524,
"AUS","UNEMP","TOT","PC_LF","A","2007",4.379151,
"AUS","UNEMP","TOT","PC_LF","A","2008",4.23433,
"AUS","UNEMP","TOT","PC_LF","A","2009",5.560385,
"AUS","UNEMP","TOT","PC_LF","A","2010",5.21334,
"AUS","UNEMP","TOT","PC_LF","A","2011",5.081195,
"AUS","UNEMP","TOT","PC_LF","A","2012",5.223376,
"AUS","UNEMP","TOT","PC_LF","A","2013",5.66194,
"AUS","UNEMP","TOT","PC_LF","A","2014",6.077244,
"AUS","UNEMP","TOT","PC_LF","A","2015",6.056423,
"AUS","UNEMP","TOT","PC_LF","A","2016",5.710301,
"AUS","UNEMP","TOT","PC_LF","A","2017",5.59376,
"AUS","UNEMP","TOT","PC_LF","A","2018",5.299829,
"AUS","UNEMP","TOT","PC_LF","A","2019",5.16392,
"AUT","UNEMP","TOT","PC_LF","A","1995",3.699785,
"AUT","UNEMP","TOT","PC_LF","A","1996",4.139831,
"AUT","UNEMP","TOT","PC_LF","A","1997",4.242406,
"AUT","UNEMP","TOT","PC_LF","A","1998",4.235766,
"AUT","UNEMP","TOT","PC_LF","A","1999",3.727968,
"AUT","UNEMP","TOT","PC_LF","A","2000",3.533025,
"AUT","UNEMP","TOT","PC_LF","A","2001",3.59086,
"AUT","UNEMP","TOT","PC_LF","A","2002",3.951978,
"AUT","UNEMP","TOT","PC_LF","A","2003",4.286487,"B"
"AUT","UNEMP","TOT","PC_LF","A","2004",5.49025,"B"
"AUT","UNEMP","TOT","PC_LF","A","2005",5.628417,
"AUT","UNEMP","TOT","PC_LF","A","2006",5.246718,"B"
"AUT","UNEMP","TOT","PC_LF","A","2007",4.858952,
"AUT","UNEMP","TOT","PC_LF","A","2008",4.129104,
"AUT","UNEMP","TOT","PC_LF","A","2009",5.298988,
"AUT","UNEMP","TOT","PC_LF","A","2010",4.82168,
"AUT","UNEMP","TOT","PC_LF","A","2011",4.566622,
"AUT","UNEMP","TOT","PC_LF","A","2012",4.863267,
"AUT","UNEMP","TOT","PC_LF","A","2013",5.336031,
"AUT","UNEMP","TOT","PC_LF","A","2014",5.621219,
"AUT","UNEMP","TOT","PC_LF","A","2015",5.723468,
"AUT","UNEMP","TOT","PC_LF","A","2016",6.014071,
"AUT","UNEMP","TOT","PC_LF","A","2017",5.500528,
"AUT","UNEMP","TOT","PC_LF","A","2018",4.848801,
"AUT","UNEMP","TOT","PC_LF","A","2019",4.487494,
"BEL","UNEMP","TOT","PC_LF","A","1999",8.561709,
"BEL","UNEMP","TOT","PC_LF","A","2000",7.00965,"B"
"BEL","UNEMP","TOT","PC_LF","A","2001",6.607931,
"BEL","UNEMP","TOT","PC_LF","A","2002",7.511277,
"BEL","UNEMP","TOT","PC_LF","A","2003",8.172144,
"BEL","UNEMP","TOT","PC_LF","A","2004",8.387378,"B"
"BEL","UNEMP","TOT","PC_LF","A","2005",8.438975,
"BEL","UNEMP","TOT","PC_LF","A","2006",8.249064,
"BEL","UNEMP","TOT","PC_LF","A","2007",7.459264,
"BEL","UNEMP","TOT","PC_LF","A","2008",6.970808,
"BEL","UNEMP","TOT","PC_LF","A","2009",7.906314,
"BEL","UNEMP","TOT","PC_LF","A","2010",8.293048,"B"
"BEL","UNEMP","TOT","PC_LF","A","2011",7.139795,
"BEL","UNEMP","TOT","PC_LF","A","2012",7.537931,
"BEL","UNEMP","TOT","PC_LF","A","2013",8.425185,
"BEL","UNEMP","TOT","PC_LF","A","2014",8.52289,
"BEL","UNEMP","TOT","PC_LF","A","2015",8.481071,
"BEL","UNEMP","TOT","PC_LF","A","2016",7.833329,"B"
"BEL","UNEMP","TOT","PC_LF","A","2017",7.088736,
